aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
100,100,83.33333333,50,66.66666667,100,100,100,100,0,3
57.5,NA,33.33333333,50,66.66666667,33.33333333,50,66.66666667,66.66666667,33.33333333,4
57.5,100,50,50,83.33333333,66.66666667,50,66.66666667,66.66666667,50,4
75,100,83.33333333,66.66666667,66.66666667,50,100,50,33.33333333,66.66666667,4
85,100,100,100,100,100,100,83.33333333,83.33333333,33.33333333,4
77.5,100,66.66666667,83.33333333,50,33.33333333,33.33333333,66.66666667,83.33333333,0,3
70,50,50,83.33333333,100,66.66666667,100,50,66.66666667,33.33333333,4
77.5,100,100,100,100,100,100,100,100,100,5
90,16.66666667,66.66666667,66.66666667,66.66666667,100,100,100,100,33.33333333,5
65,83.33333333,100,66.66666667,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,50,4
52.5,100,100,83.33333333,100,100,100,100,83.33333333,83.33333333,4
100,100,100,100,100,100,100,83.33333333,83.33333333,66.66666667,4
45,83.33333333,83.33333333,50,83.33333333,50,100,100,100,50,5
90,100,100,100,100,100,100,100,83.33333333,50,4
75,100,100,100,100,100,100,100,100,83.33333333,5
70,100,100,100,83.33333333,0,100,83.33333333,0,16.66666667,4
70,100,83.33333333,66.66666667,100,83.33333333,83.33333333,66.66666667,66.66666667,50,4
67.5,66.66666667,66.66666667,66.66666667,50,83.33333333,66.66666667,66.66666667,83.33333333,50,4
72.5,83.33333333,83.33333333,16.66666667,83.33333333,66.66666667,83.33333333,16.66666667,83.33333333,16.66666667,4
97.5,100,100,100,100,100,100,100,100,66.66666667,5
52.5,83.33333333,66.66666667,66.66666667,83.33333333,50,83.33333333,33.33333333,66.66666667,33.33333333,3
92.5,100,100,100,100,100,100,83.33333333,100,50,4
65,33.33333333,66.66666667,33.33333333,66.66666667,83.33333333,83.33333333,83.33333333,66.66666667,33.33333333,4
80,100,100,100,83.33333333,50,0,83.33333333,83.33333333,66.66666667,4
48.57142857,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,66.66666667,66.66666667,33.33333333,33.33333333,4
80,66.66666667,66.66666667,83.33333333,83.33333333,66.66666667,100,83.33333333,100,66.66666667,4
50,66.66666667,66.66666667,66.66666667,50,66.66666667,50,66.66666667,83.33333333,33.33333333,4
60,100,0,0,16.66666667,33.33333333,0,33.33333333,33.33333333,0,3
90,100,100,100,83.33333333,100,16.66666667,100,NA,66.66666667,5
50,100,66.66666667,33.33333333,100,50,83.33333333,66.66666667,66.66666667,33.33333333,4
55,83.33333333,66.66666667,50,66.66666667,100,66.66666667,83.33333333,50,33.33333333,4
100,100,83.33333333,83.33333333,100,100,83.33333333,83.33333333,83.33333333,16.66666667,4
72.5,83.33333333,50,50,83.33333333,50,50,66.66666667,66.66666667,33.33333333,3
60,100,50,83.33333333,50,83.33333333,100,33.33333333,50,16.66666667,3
92.5,100,100,100,83.33333333,50,100,66.66666667,83.33333333,50,4
85,83.33333333,66.66666667,66.66666667,50,50,100,83.33333333,100,16.66666667,4
100,100,100,100,100,100,100,100,33.33333333,83.33333333,5
50,100,100,100,100,100,100,100,100,100,5
72.5,100,83.33333333,66.66666667,83.33333333,66.66666667,50,100,66.66666667,50,5
100,50,33.33333333,50,50,50,50,33.33333333,66.66666667,50,3
87.5,100,100,100,50,83.33333333,100,66.66666667,66.66666667,50,4
75,100,83.33333333,83.33333333,33.33333333,50,100,83.33333333,100,50,3
97.5,83.33333333,100,100,100,100,100,100,100,50,4
60,66.66666667,83.33333333,66.66666667,83.33333333,66.66666667,83.33333333,83.33333333,100,50,4
75,100,50,66.66666667,50,50,100,66.66666667,66.66666667,0,4
60,100,0,16.66666667,33.33333333,100,100,83.33333333,100,100,4
52.5,83.33333333,0,16.66666667,16.66666667,83.33333333,50,83.33333333,83.33333333,NA,4
82.5,83.33333333,83.33333333,83.33333333,100,100,100,100,83.33333333,66.66666667,3
92.5,100,100,100,100,100,100,66.66666667,66.66666667,50,5
97.5,100,100,100,83.33333333,100,100,100,100,33.33333333,4
65,100,83.33333333,83.33333333,50,100,83.33333333,100,100,33.33333333,4
62.5,83.33333333,66.66666667,66.66666667,66.66666667,50,83.33333333,16.66666667,66.66666667,33.33333333,4
97.5,100,100,100,100,33.33333333,100,16.66666667,100,33.33333333,4
50,100,0,0,50,50,100,0,16.66666667,0,1
